,cluster_x,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
48,2,22675.0,19,GARCH+LSTM,-1.0413166175476216,0.00023635366608180716,0.00019172394202715453,0.00016713820816712473,52.044045450844365,73.33109660317679,295.4741084069318
50,2,22675.0,25,GARCH+LSTM,-0.3882105967392493,0.00020421575652876278,0.00015037840809064375,0.00012141151338483267,45.57380552321924,62.3043753365642,6.437263549157502
52,2,22675.0,26,GARCH+LSTM,-1.8195640984887906,0.00016873254337099555,0.00014117150655905837,0.00012702322732097718,49.57533338128069,69.77935655084275,7.381129167707877
54,2,22675.0,28,GARCH+LSTM,-1.0016270975728028,0.00025515221914530534,0.00021134359827429616,0.00018899261705093812,48.84107469807002,68.77052575248929,8.659051450300952
56,2,22675.0,29,GARCH+LSTM,-0.32944218031009553,0.00015938606752513657,0.00012489979369824985,0.00010011249726431011,40.22689656197151,50.465720471843646,4.656489899099938
58,2,22675.0,35,GARCH+LSTM,-0.6267517330633847,0.00016411998494237772,0.00013134382156014283,0.0001183889483125112,43.90789548994961,59.72732565245593,5.791835165202404
62,2,22729.0,12,GARCH+LSTM,-2.275877650706229,0.0003825210044383054,0.0003247427447580693,0.0003144460450820337,52.33188410447891,75.93310810050933,10.929719216605468
64,2,22729.0,14,GARCH+LSTM,-0.6645638160681158,0.00020454315956825803,0.0001548032937196135,0.00012247075375800706,42.465019131726,53.68478944547726,5.1501309108738305
66,2,22729.0,17,GARCH+LSTM,0.2354998831297176,0.00021875879190827682,0.00016017801721087576,0.00012555077683109258,40.538019282518356,43.754259550996785,4.619757182124333
68,2,22729.0,21,GARCH+LSTM,-0.17903212950673164,0.00018565762918136626,0.00011749420614169033,7.425395491249403e-05,63.12026341721353,51.43684689673261,3.7935745089961515
70,2,22729.0,24,GARCH+LSTM,0.14006065524387057,0.00019134661773404776,0.00011919377540510869,8.356099124801888e-05,55.348764418413154,39.729548555251164,3.642392162922073
72,2,22729.0,28,GARCH+LSTM,-0.06046001620301,0.0001643248829506987,0.00011767905700745762,9.205082603697878e-05,87.90917830185477,48.75851064361056,3.7216643727606127
74,2,22729.0,29,GARCH+LSTM,-0.5712010568567056,0.00018161349524871054,0.00013871191163195143,0.0001073543430231843,50.05102447333527,57.868188073533986,5.3273533817439125
76,2,22729.0,30,GARCH+LSTM,-0.18015822728033015,0.00015788175996046282,0.0001191094375873059,9.079160320953732e-05,56.99104842518161,51.63790042077291,4.413712926233532
78,2,22729.0,33,GARCH+LSTM,-0.3717102028383852,0.00018650929658687806,0.00014135686547571554,0.00010978068209601755,47.57647400065666,52.653581753161646,4.815688280821088
80,2,22729.0,35,GARCH+LSTM,-0.20210427966124422,0.00016757629620409883,0.00012406430790261227,8.690189944019312e-05,1284264622064674.8,54.583381642285055,4.73483726017838
104,2,22771.0,14,GARCH+LSTM,-1.003659833405767,0.00027081551464171156,0.00021365576067580618,0.0001786438608205992,43.81602060862875,56.80917666523685,6.151345523631266
108,2,22771.0,17,GARCH+LSTM,-0.4705991509368017,0.0003053754048784916,0.00022161439875044385,0.0001723762116107467,39.48218782570013,49.661228673820496,6.29618272908615
112,2,22771.0,23,GARCH+LSTM,-0.2974413017006927,0.00019111743751986274,0.00013327953408213543,9.791174823248227e-05,40.62441524420609,46.608243164110675,4.5643302801308705
114,2,22771.0,28,GARCH+LSTM,0.11470319434881071,0.00023184924597743111,0.00016351659181176216,0.00012112141699288377,36.57951428536445,45.23704038406769,5.4092905572143275
118,2,22771.0,33,GARCH+LSTM,0.1558272139552601,0.0002077390620176367,0.00015904503846777724,0.00012910559262992706,41.20429777153391,52.66187687437045,9.032553071489021
120,2,22771.0,34,GARCH+LSTM,-0.13781832634477276,0.0003289964997015949,0.00019892631143336576,0.00011423895968625146,44.65482925750017,46.964709162256796,5.678961042444636
122,2,22771.0,35,GARCH+LSTM,0.16825608285897165,0.00019482764748730903,0.00013377533391131685,0.0001009659514462485,32.55177354449705,39.52626608568972,5.211191927077478
124,2,22771.0,37,GARCH+LSTM,-0.39291853772056373,0.0002957126487405907,0.00020228924023913138,0.00015242854603271248,43.00742390884382,55.85470822549505,6.3144956980361355
146,2,48219.0,6,GARCH+LSTM,-0.27220963352275684,0.0002799858441086972,0.00021789676659493518,0.00017900119814625307,40.40728500404687,52.757033504052686,6.959557858163647
150,2,48219.0,14,GARCH+LSTM,-0.368813878962867,0.00028336826346631093,0.00021431893475148614,0.0001599290546392554,41.95289668240844,54.67674045426742,6.236976956648093
156,2,48219.0,21,GARCH+LSTM,-0.22445367860883114,0.00026181113371216843,0.00020266524947161298,0.00016651423550834024,37.80246373105011,48.73721455512574,6.095333210797648
158,2,48219.0,25,GARCH+LSTM,-0.38645804767921876,0.0002934475348508673,0.00022510820442445568,0.00019179747327557819,45.72556368705308,63.57091535936766,7.64203578605584
